Automate	1
(	21
2	11
)	22
=	31
{	25
etats	2
=	31
[	23
`	28
A	10
`	28
,	27
`	28
B	10
`	28
,	27
`	28
C	10
`	28
]	24
initial	3
=	31
0	11
final	4
=	31
[	23
2	11
]	24
transitions	5
=	31
[	23
(	21
0	11
→	32
0	11
,	27
`	28
a	10
`	28
,	27
(	21
→	32
,	27
`	28
a	10
`	28
)	22
)	22
,	27
(	21
0	11
→	32
1	11
,	27
`	28
b	10
`	28
,	27
(	21
`	28
a	10
`	28
,	27
→	32
)	22
,	27
(	21
→	32
,	27
`	28
b	10
`	28
)	22
)	22
,	27
(	21
1	11
→	32
1	11
,	27
`	28
b	10
`	28
,	27
(	21
`	28
a	10
`	28
,	27
→	32
)	22
,	27
(	21
→	32
,	27
`	28
b	10
`	28
)	22
)	22
,	27
(	21
1	11
→	32
2	11
,	27
`	28
c	10
`	28
,	27
(	21
)	22
,	27
(	21
`	28
b	10
`	28
,	27
→	32
)	22
)	22
,	27
(	21
2	11
→	32
2	11
,	27
`	28
c	10
`	28
,	27
(	21
)	22
,	27
(	21
`	28
b	10
`	28
,	27
→	32
)	22
)	22
]	24
}	26
